Sr No.,FirstName,LastName,Salary,Age,,,
1,Aarav,Patel,50000,30,,,
2,Aisha,Kumar,60000,35,,,Macro shortcut key is ctrl+shift+E
3,Amit,Sharma,75000,40,,,
4,Ananya,Choudhury,55000,28,,,
5,Arjun,Reddy,80000,45,,,
6,Avni,Gupta,65000,33,,,
7,Dev,Verma,70000,38,,,
8,Dia,Singh,60000,32,,,
9,Ishaan,Saxena,85000,42,,,
10,Jiya,Khan,70000,36,,,
11,Kabir,Mishra,60000,31,,,
12,Kriti,Joshi,55000,29,,,
13,Mohan,Kumar,90000,48,,,
14,Neha,Shah,65000,34,,,
15,Pranav,Jain,75000,39,,,
16,Riya,Das,70000,37,,,
17,Rohan,Pandey,80000,41,,,
18,Sneha,Chopra,60000,33,,,
19,Vikram,Singhania,70000,38,,,
20,Zoya,Mehta,65000,35,,,
